iter	Passed	Remaining
0	2876	2873974
1	3340	1666684
2	3839	1275881
3	4315	1074534
4	4813	957958
5	5216	864265
6	5703	809063
7	6089	755145
8	6497	715463
9	6988	691847
10	7437	668714
11	7857	646929
12	8294	629714
13	8719	614100
14	9150	600898
15	9609	590985
16	10071	582363
17	10553	575778
18	11024	569223
19	11573	567078
20	12010	559897
21	12486	555073
22	12909	548390
23	13307	541179
24	13696	534150
25	14104	528366
26	14492	522263
27	14873	516313
28	15339	513601
29	15715	508150
30	16097	503161
31	16482	498587
32	16866	494252
33	17283	491060
34	17696	487922
35	18086	484308
36	18480	480984
37	18863	477543
38	19248	474312
39	19717	473212
40	20163	471633
41	20563	469038
42	21011	467619
43	21426	465528
44	21868	464103
45	22350	463537
46	22771	461719
47	23246	461055
48	23711	460203
49	24172	459276
50	24618	458099
51	25042	456549
